valid_loss,epoch,step,train_loss,test_loss,test_metric
0.689716637134552,0,5,,,
0.6876053214073181,1,11,,,
0.6421129703521729,2,17,,,
0.6159234046936035,3,23,,,
0.5849018096923828,4,29,,,
0.54139643907547,5,35,,,
0.5085735321044922,6,41,,,
0.4938821494579315,7,47,,,
,8,49,0.5662299990653992,,
0.46728694438934326,8,53,,,
0.45087671279907227,9,59,,,
0.4298252463340759,10,65,,,
0.4110420048236847,11,71,,,
0.4168599545955658,12,77,,,
0.3888450562953949,13,83,,,
0.38363903760910034,14,89,,,
0.38536491990089417,15,95,,,
,16,99,0.48636364936828613,,
0.3705120086669922,16,101,,,
0.3681061565876007,17,107,,,
0.36453109979629517,18,113,,,
0.3615078628063202,19,119,,,
0.35871636867523193,20,125,,,
0.3564406633377075,21,131,,,
0.3560483455657959,22,137,,,
0.3560420572757721,23,143,,,
,24,149,0.46669116616249084,,
0.3579767644405365,24,149,,,
0.3556511104106903,25,155,,,
0.35350146889686584,26,161,,,
0.35556015372276306,27,167,,,
0.3523288071155548,28,173,,,
0.3546694815158844,29,179,,,
0.35165703296661377,30,185,,,
0.34923169016838074,31,191,,,
0.35250866413116455,32,197,,,
,33,199,0.4228615164756775,,
0.3498208820819855,33,203,,,
0.34888920187950134,34,209,,,
0.34950608015060425,35,215,,,
0.3490372896194458,36,221,,,
0.3491092622280121,37,227,,,
0.34981101751327515,38,233,,,
0.3464452028274536,39,239,,,
0.34677445888519287,40,245,,,
,41,249,0.40394705533981323,,
0.3480442464351654,41,251,,,
0.34677737951278687,42,257,,,
0.3465573787689209,43,263,,,
0.3497118055820465,44,269,,,
0.3483816087245941,45,275,,,
0.34647735953330994,46,281,,,
0.3459559381008148,47,287,,,
0.34680303931236267,48,293,,,
,49,299,0.37193939089775085,,
0.3453185558319092,49,299,,,
0.34352219104766846,50,305,,,
0.3433825969696045,51,311,,,
0.3433690071105957,52,317,,,
0.34457674622535706,53,323,,,
0.34364452958106995,54,329,,,
0.3420419991016388,55,335,,,
0.3421285152435303,56,341,,,
0.34389951825141907,57,347,,,
,58,349,0.39510831236839294,,
0.3426271677017212,58,353,,,
0.3416774570941925,59,359,,,
0.3408485949039459,60,365,,,
0.3422658145427704,61,371,,,
0.344666987657547,62,377,,,
0.3442077934741974,63,383,,,
0.3445243239402771,64,389,,,
0.34436148405075073,65,395,,,
,66,399,0.4098915457725525,,
0.3451986312866211,66,401,,,
0.3445654809474945,67,407,,,
0.3425893783569336,68,413,,,
0.34261494874954224,69,419,,,
0.342657208442688,70,425,,,
0.34409379959106445,71,431,,,
0.3424178659915924,72,437,,,
0.3415852189064026,73,443,,,
,74,449,0.4122113287448883,,
0.3410240709781647,74,449,,,
0.3407910466194153,75,455,,,
0.34134677052497864,76,461,,,
0.3418899476528168,77,467,,,
0.34232115745544434,78,473,,,
0.3416081964969635,79,479,,,
0.34157758951187134,80,485,,,
0.34149405360221863,81,491,,,
0.3415038585662842,82,497,,,
,83,499,0.40721625089645386,,
0.34172046184539795,83,503,,,
0.34152713418006897,84,509,,,
0.341373085975647,85,515,,,
0.34106382727622986,86,521,,,
0.341319739818573,87,527,,,
0.3413164019584656,88,533,,,
0.3408432602882385,89,539,,,
0.342043399810791,90,545,,,
,91,549,0.40868231654167175,,
0.3415603041648865,91,551,,,
0.34153690934181213,92,557,,,
0.34148645401000977,93,563,,,
0.3417562246322632,94,569,,,
0.3408135771751404,95,575,,,
0.340631365776062,96,581,,,
0.341081827878952,97,587,,,
0.3409441113471985,98,593,,,
,99,599,0.4354943335056305,,
0.34183549880981445,99,599,,,
0.341539591550827,100,605,,,
0.34101757407188416,101,611,,,
0.34125304222106934,102,617,,,
0.34123995900154114,103,623,,,
0.34152933955192566,104,629,,,
0.34090694785118103,105,635,,,
0.34124258160591125,106,641,,,
0.34033483266830444,107,647,,,
,108,649,0.3869028687477112,,
0.34084606170654297,108,653,,,
0.34168902039527893,109,659,,,
0.3412807285785675,110,665,,,
0.34110814332962036,111,671,,,
0.341544508934021,112,677,,,
0.3413694500923157,113,683,,,
0.34143486618995667,114,689,,,
0.34147509932518005,115,695,,,
,116,699,0.38783401250839233,,
0.340868204832077,116,701,,,
0.3400193154811859,117,707,,,
0.34004244208335876,118,713,,,
0.34096378087997437,119,719,,,
0.3412896990776062,120,725,,,
0.34251004457473755,121,731,,,
0.3421931266784668,122,737,,,
0.34227535128593445,123,743,,,
,124,749,0.3840591311454773,,
0.3416014015674591,124,749,,,
0.34186017513275146,125,755,,,
0.3419695794582367,126,761,,,
0.3412960171699524,127,767,,,
0.34109631180763245,128,773,,,
0.3405655324459076,129,779,,,
0.3403302729129791,130,785,,,
0.3406461775302887,131,791,,,
0.3404737412929535,132,797,,,
,133,799,0.40408626198768616,,
0.3403109610080719,133,803,,,
0.34057673811912537,134,809,,,
0.34071868658065796,135,815,,,
0.3412781059741974,136,821,,,
0.3419121205806732,137,827,,,
0.34106892347335815,138,833,,,
,139,834,,0.34106892347335815,0.8824471129736883
,139,834,,0.3901534080505371,0.8646303333424279
